2009-10-22T12:48:36,Master Bedroom,ON,100
2009-10-22T12:48:56,Master Bedroom,OFF,0
2009-10-22T12:49:43,Master Bedroom,ON,100
2009-10-22T12:50:22,Hall,ON,100
2009-10-22T12:50:58,Main Kitchen,ON,100
2009-10-22T14:4:53,Hall,ON,100
2009-10-22T14:40:14,Main Kitchen,ON,100
2009-10-22T15:2:29,Hall,ON,100
2009-10-22T15:2:51,Main Kitchen,ON,100
2009-10-22T15:4:4,Landing,ON,100
2009-10-22T15:4:8,Master Bedroom,ON,100
2009-10-22T15:4:48,Main Kitchen,ON,100
2009-10-22T15:5:23,Landing,ON,100
2009-10-22T15:5:38,Hall,ON,100
2009-10-22T15:5:40,Downstairs WC,ON,100
2009-10-22T15:5:56,Main Kitchen,ON,100
2009-10-22T15:26:55,Hall,ON,100
2009-10-22T15:26:57,Downstairs WC,ON,100
2009-10-22T15:27:28,Hall,ON,100
2009-10-22T15:27:32,Main Kitchen,ON,100
2009-10-22T15:28:36,Hall,ON,100
2009-10-22T15:28:42,Downstairs WC,ON,100
2009-10-22T15:29:4,Main Kitchen,ON,100
2009-10-22T15:53:15,Hall,ON,100
2009-10-22T15:53:24,Downstairs WC,ON,100
2009-10-22T15:54:33,Hall,ON,100
2009-10-22T15:54:46,Main Kitchen,ON,100
2009-10-22T16:18:39,Hall,ON,100
2009-10-22T16:18:42,Downstairs WC,ON,100
2009-10-22T16:18:55,Main Kitchen,ON,100
2009-10-22T16:19:15,Downstairs WC,ON,100
2009-10-22T16:19:16,Hall,ON,100
2009-10-22T16:19:28,Main Kitchen,ON,100
2009-10-22T16:20:30,Landing,ON,100
2009-10-22T16:20:47,Main Kitchen,ON,100
2009-10-22T16:27:45,Landing,ON,100
2009-10-22T16:29:0,Main Kitchen,ON,100
2009-10-22T16:32:2,Hall,ON,100
2009-10-22T16:33:3,Main Kitchen,ON,100
2009-10-22T16:43:16,Landing,ON,100
2009-10-22T16:43:24,Master Bedroom,ON,100
2009-10-22T16:44:17,Landing,ON,100
2009-10-22T16:44:19,Main Bathroom,ON,100
2009-10-22T16:45:15,Landing,ON,100
2009-10-22T16:48:1,Hall,ON,100
2009-10-22T16:48:4,Living Room,ON,100
2009-10-22T16:48:9,Main Kitchen,ON,100
2009-10-22T16:53:11,Landing,ON,100
2009-10-22T16:53:54,Main Kitchen,ON,100
2009-10-22T16:54:10,Landing,ON,100
2009-10-22T16:54:36,Main Kitchen,ON,100
2009-10-22T16:54:53,Landing,ON,100
2009-10-22T16:55:17,Main Kitchen,ON,100
2009-10-22T16:55:27,Landing,ON,100
2009-10-22T16:55:50,Main Kitchen,ON,100
2009-10-22T16:56:12,Landing,ON,100
2009-10-22T16:56:24,Main Kitchen,ON,100
2009-10-22T16:57:24,Landing,ON,100
2009-10-22T16:57:45,Main Kitchen,ON,100
2009-10-22T16:58:48,Landing,ON,100
2009-10-22T17:2:41,Main Kitchen,ON,100
2009-10-22T17:3:5,Landing,ON,100
2009-10-22T17:4:29,Main Kitchen,ON,100
2009-10-22T17:4:51,Landing,ON,100
2009-10-22T17:5:4,Main Kitchen,ON,100
2009-10-22T17:8:8,Landing,ON,100
2009-10-22T17:8:12,Main Bathroom,ON,100
2009-10-22T17:8:38,Main Kitchen,ON,100
2009-10-22T17:10:23,Landing,ON,100
2009-10-22T17:10:53,Main Kitchen,ON,100
2009-10-22T17:10:54,Third Bedroom,ON,100
2009-10-22T17:11:56,Main Kitchen,ON,100
2009-10-22T17:12:29,Landing,ON,100
2009-10-22T17:13:53,Master Bedroom,ON,100
2009-10-22T17:14:24,Landing,ON,100
2009-10-22T17:14:26,Main Bathroom,ON,100
2009-10-22T17:15:44,Landing,ON,100
2009-10-22T17:16:3,Main Kitchen,ON,100
2009-10-22T17:19:16,Landing,ON,100
2009-10-22T17:20:2,Main Kitchen,ON,100
2009-10-22T17:43:54,Hall,ON,100
2009-10-22T17:44:11,Main Kitchen,ON,100
2009-10-22T18:2:12,Hall,ON,100
2009-10-22T18:2:21,Living Room,ON,100
2009-10-22T18:3:9,Hall,ON,100
2009-10-22T18:3:32,Main Kitchen,ON,100
2009-10-22T18:6:22,Hall,ON,100
2009-10-22T18:6:24,Downstairs WC,ON,100
2009-10-22T18:7:22,Hall,ON,100
2009-10-22T18:7:30,Main Kitchen,ON,100
2009-10-22T18:32:4,Master Bedroom,ON,100
2009-10-22T18:32:22,Master Bedroom,ON,100
2009-10-22T18:32:48,Master Bedroom,ON,100
2009-10-22T18:32:55,Master Bedroom,OFF,0
2009-10-22T18:32:56,Master Bedroom,ON,100
2009-10-22T18:33:12,Master Bedroom,OFF,0
2009-10-22T18:33:15,Master Bedroom,ON,100
2009-10-22T18:33:27,Master Bedroom,ON,100
2009-10-22T18:33:29,Master Bedroom,OFF,0
2009-10-22T18:33:30,Master Bedroom,ON,100
2009-10-22T18:35:4,Master Bedroom,ON,100
2009-10-22T18:35:23,Master Bedroom,ON,100
2009-10-22T18:35:24,Master Bedroom,OFF,0
2009-10-22T18:35:39,Master Bedroom,ON,100
2009-10-22T18:35:40,Master Bedroom,ON,100
2009-10-22T18:35:42,Master Bedroom,OFF,0
2009-10-22T18:36:16,Master Bedroom,ON,100
2009-10-22T18:36:52,Master Bedroom,ON,100
2009-10-22T18:36:53,Master Bedroom,OFF,0
2009-10-22T18:37:38,Master Bedroom,ON,100
2009-10-22T18:58:13,Master Bedroom,OFF,0
2009-10-22T18:58:14,Master Bedroom,ON,100
2009-10-22T18:58:22,Landing,ON,100
2009-10-22T18:58:41,Main Kitchen,ON,100
2009-10-22T18:59:27,Landing,ON,100
2009-10-22T18:59:32,Master Bedroom,ON,100
2009-10-22T18:59:42,Master Bedroom,ON,100
2009-10-22T19:0:19,Master Bedroom,ON,100
2009-10-22T19:10:7,Main Kitchen,ON,100
2009-10-22T19:39:23,Hall,ON,100
2009-10-22T19:39:26,Downstairs WC,ON,100
2009-10-22T19:39:35,Main Kitchen,ON,100
2009-10-22T19:52:9,Hall,ON,100
2009-10-22T19:52:59,Landing,ON,100
2009-10-22T19:53:44,Third Bedroom,ON,100
2009-10-22T19:53:57,Landing,ON,100
2009-10-22T19:54:13,Master Bedroom,ON,100
2009-10-22T19:54:58,Landing,ON,100
2009-10-22T19:55:0,Main Bathroom,ON,100
2009-10-22T19:56:23,Landing,ON,100
2009-10-22T19:57:1,Main Kitchen,ON,100
2009-10-22T20:3:40,Hall,ON,100
2009-10-22T20:3:54,Main Kitchen,ON,100
2009-10-22T20:16:20,Hall,ON,100
2009-10-22T20:16:23,Downstairs WC,ON,100
2009-10-22T20:17:40,Hall,ON,100
2009-10-22T20:17:47,Main Kitchen,ON,100
2009-10-22T22:5:14,Hall,ON,100
2009-10-22T22:6:1,Main Kitchen,ON,100
2009-10-22T22:6:34,Hall,ON,100
2009-10-22T22:9:26,Main Kitchen,ON,100
2009-10-22T22:22:32,Landing,ON,100
2009-10-22T22:23:18,Main Bathroom,ON,100
2009-10-22T22:26:15,Landing,ON,100
2009-10-22T22:26:18,Master Bedroom,ON,100
2009-10-22T22:26:45,Hall,ON,100
2009-10-22T22:27:0,Main Kitchen,ON,100
2009-10-22T23:23:4,Hall,ON,100
2009-10-22T23:23:22,Main Kitchen,ON,100
2009-10-22T23:24:30,Landing,ON,100
2009-10-22T23:24:36,Master Bedroom,ON,100
2009-10-22T23:25:57,Landing,ON,100
2009-10-22T23:26:0,Main Bathroom,ON,100
2009-10-22T23:31:27,Landing,ON,100
2009-10-22T23:31:31,Master Bedroom,ON,100
2009-10-23T0:37:20,Master Bedroom,OFF,0
2009-10-23T0:37:27,Landing,ON,100
2009-10-23T0:37:32,Main Bathroom,ON,100
2009-10-23T0:38:41,Landing,ON,100
2009-10-23T0:38:43,Master Bedroom,ON,100
2009-10-23T0:39:13,Main Bathroom,ON,100
2009-10-23T0:39:16,Landing,ON,100
2009-10-23T0:39:18,Master Bedroom,ON,100
2009-10-23T0:39:21,Master Bedroom,OFF,0
2009-10-23T0:39:47,Master Bedroom,ON,100
2009-10-23T0:39:48,Master Bedroom,OFF,0
2009-10-23T0:39:51,Master Bedroom,ON,100
2009-10-23T0:40:0,Landing,ON,100
2009-10-23T0:40:3,Main Bathroom,ON,100
2009-10-23T0:44:15,Landing,ON,100
